FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
36103158607,Census Tract 1586.07,Suffolk County,New York,3564,0.19696969696969696,0.7028619528619529,0.10016835016835017,0.7115600448933782,0.011784511784511785,0.2328843995510662,0.02974186307519641,0.014029180695847363,0.11561148250098309,0.7620920173023987,0.22571765631144317,0.08257963035784506
36103158608,Census Tract 1586.08,Suffolk County,New York,3565,0.21626928471248247,0.6375876577840113,0.1461430575035063,0.6437587657784011,0.0546984572230014,0.15231416549789623,0.08471248246844319,0.06451612903225806,0.04590035307963907,0.8415064731267163,0.21184778344448804,0.08591604550804237
36103158609,Census Tract 1586.09,Suffolk County,New York,4830,0.1720496894409938,0.6745341614906832,0.153416149068323,0.7801242236024845,0.014906832298136646,0.1523809523809524,0.04492753623188406,0.007660455486542443,0.03655426466421082,0.9149900821762539,0.24341173136865968,0.12439784641541513
36103158705,Census Tract 1587.05,Suffolk County,New York,4466,0.2946708463949843,0.6415136587550381,0.0638154948499776,0.13770712046574116,0.5609046126287506,0.20174652933273624,0.00761307657859382,0.09202866099417824,0.08210689388071263,0.8454686289697909,0.1715724244771495,0.05809450038729667
36103158707,Census Tract 1587.07,Suffolk County,New York,2034,0.20698131760078664,0.6971484759095379,0.09587020648967552,0.6701081612586037,0.010816125860373648,0.27728613569321536,0.0058997050147492625,0.035889872173058016,0.03986254295532646,0.8563573883161512,0.12852233676975944,0.061855670103092786
36103158708,Census Tract 1587.08,Suffolk County,New York,3365,0.1575037147102526,0.6555720653789004,0.18692421991084696,0.7411589895988113,0.12273402674591381,0.10163447251114413,0.018424962852897474,0.016047548291233282,0.004516371847948814,0.8773052314640573,0.302973278133233,0.0933383515242755
36103158709,Census Tract 1587.09,Suffolk County,New York,3189,0.10943869551583568,0.6980244590780809,0.1925368454060834,0.8632800250862339,0.02634054562558796,0.07933521480087802,0.02132329883976168,0.009720915647538414,0.004417670682730923,0.8586345381526105,0.40883534136546185,0.17951807228915662
36103158710,Census Tract 1587.10,Suffolk County,New York,3884,0.25592173017507724,0.5682286302780638,0.17584963954685892,0.7845005149330587,0.08341915550978372,0.10968074150360453,0.0025746652935118436,0.019824922760041195,0.02898005269100489,0.9059089198343997,0.32781332329695145,0.1580730146782085
36103158711,Census Tract 1587.11,Suffolk County,New York,6018,0.1769690927218345,0.5839149219009637,0.23911598537720172,0.6598537720172815,0.08042539049518112,0.19175805915586575,0.06796277833167165,0.0,0.049714937286202965,0.8953249714937286,0.37400228050171036,0.12862029646522236
36103158712,Census Tract 1587.12,Suffolk County,New York,6818,0.19624523320621884,0.5781754180111469,0.2255793487826342,0.5462012320328542,0.09225579348782634,0.2769140510413611,0.031387503666764446,0.0532414197711939,0.07504613491900759,0.8314537625589502,0.220422390814025,0.07709657576378921
36103158713,Census Tract 1587.13,Suffolk County,New York,3263,0.13821636530799877,0.7569721115537849,0.10481152313821636,0.2586576769843702,0.32301562978853815,0.3653079987741342,0.02850137909898866,0.02451731535396874,0.03981363828886065,0.7564591274883524,0.36255823803473103,0.04870817450232952
36103158714,Census Tract 1587.14,Suffolk County,New York,2045,0.45183374083129585,0.49290953545232274,0.05525672371638142,0.39559902200489,0.10464547677261614,0.4474327628361858,0.0034229828850855745,0.0488997555012225,0.08514664143803216,0.8126773888363292,0.3812677388836329,0.12204351939451277
36103158715,Census Tract 1587.15,Suffolk County,New York,4754,0.1459823306689104,0.6897349600336559,0.16428270929743374,0.6354648716870004,0.0736222128733698,0.11043331931005469,0.0368111064366849,0.1436684896928902,0.03431101272827892,0.9474266740453791,0.3254012174875484,0.1413945766463752
36103158802,Census Tract 1588.02,Suffolk County,New York,4616,0.18890814558058924,0.5842720970537262,0.22681975736568458,0.9293760831889082,0.007149046793760832,0.045710571923743504,0.00498266897746967,0.01278162911611785,0.013405590416428978,0.9389617798060468,0.4851682829435254,0.23331431831146607
