FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36103147901,Census Tract 1479.01,Suffolk County,New York,0.4072,0.19012062033314187,0.2739804709936818,0.813555454130534,0.3597584925987858,0.0,0.0,0.08785529715762273,0.0,0.225,0.010872134247222878
36103147902,Census Tract 1479.02,Suffolk County,New York,0.405,0.4533582089552239,0.5634328358208955,0.8626543209876543,-0.15579089627532539,0.0,0.0,0.0,0.0,0.0,0.0018669778296382731
36103158001,Census Tract 1580.01,Suffolk County,New York,0.5224,0.5533184190902312,0.5577926920208799,0.8427672955974843,0.2781590733590733,0.012387387387387387,0.0,0.07142857142857142,0.0,0.2857142857142857,0.004810413129598189
36103158009,Census Tract 1580.09,Suffolk County,New York,0.4382,0.4980340760157274,0.5386631716906947,0.8282425852146967,0.021220571428571477,0.0,0.0,0.0,,0.0,0.0018604651162790699
36103158010,Census Tract 1580.10,Suffolk County,New York,0.3718,0.6017274472168906,0.54510556621881,0.7397220613781124,0.369894930875576,0.0,0.0,0.0,,0.0,0.013069908814589666
36103158011,Census Tract 1580.11,Suffolk County,New York,0.4376,0.34545454545454546,0.3548387096774194,0.7042711234911792,0.20017689951244766,0.0,0.0,0.0,0.0,0.0,0.002652519893899204
36103158012,Census Tract 1580.12,Suffolk County,New York,0.3953,0.3525423728813559,0.271864406779661,0.6530278232405892,0.3339736094872223,0.0,0.0,0.0,,0.0,0.004407443682664055
36103158013,Census Tract 1580.13,Suffolk County,New York,0.2851,0.33150384193194293,0.3699231613611416,0.8146203554119548,0.14405667347559648,0.0,,0.0,,0.0,0.037991266375545854
36103158014,Census Tract 1580.14,Suffolk County,New York,,,,0.47496206373292865,0.0,0.0,0.0,0.0,,,0.0
36103158015,Census Tract 1580.15,Suffolk County,New York,,,,0.23863636363636365,-1.2910526315789475,0.021087680355160933,0.021551724137931036,0.020022246941045607,,,0.020874505928853756
36103158016,Census Tract 1580.16,Suffolk County,New York,0.3112,0.7007672634271099,0.5997442455242967,0.7538060026098303,-0.11487179487179477,0.0,0.0,0.0,0.0,0.0,0.0
36103158017,Census Tract 1580.17,Suffolk County,New York,0.4692,0.4965659340659341,0.4842032967032967,0.8395163506457818,0.3603709690905543,0.0,0.17307692307692307,0.0,,0.0,0.0
36103158102,Census Tract 1581.02,Suffolk County,New York,0.3821,0.251066422912858,0.3101767215112736,0.6241163401333064,0.25862293941107395,0.0078125,0.0,0.0,0.0,0.0,0.015916808149405774
36103158103,Census Tract 1581.03,Suffolk County,New York,0.3567,0.2689655172413793,0.22275862068965518,0.5564565173322522,0.14630307552405153,0.061664190193164936,0.04474708171206226,0.0872093023255814,0.0,0.10429447852760736,0.034409515717926935
36103158107,Census Tract 1581.07,Suffolk County,New York,0.3973,0.3182515337423313,0.3052147239263804,0.6954583449428811,0.3256013745704467,0.012727272727272728,0.0,0.0,0.0,0.0,0.03573538098050797
36103158108,Census Tract 1581.08,Suffolk County,New York,0.361,0.38434163701067614,0.28825622775800713,0.6139519133084999,0.1644863017367919,0.0,0.1111111111111111,0.04390243902439024,0.0,0.0,0.027603974972396025
